Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,2058.90,2072.36,2046.04,2058.20,5417400000,2058.20
2014-12-01,2065.78,2093.55,1972.56,2058.90,3788631300,2058.90
2014-11-03,2018.21,2075.76,2001.01,2067.56,3479201500,2067.56
2014-10-01,1971.44,2018.19,1820.66,2018.05,4260310800,2018.05
2014-09-02,2004.07,2019.26,1964.04,1972.29,3364623800,1972.29
2014-08-01,1929.80,2005.04,1904.78,2003.37,2875718500,2003.37
2014-07-01,1962.29,1991.39,1930.67,1930.67,3214440400,1930.67
2014-06-02,1923.87,1968.17,1915.98,1960.23,3158130000,1960.23
2014-05-01,1884.39,1924.03,1859.79,1923.57,3185100900,1923.57
2014-04-01,1873.96,1897.28,1814.36,1883.95,3589287600,1883.95
2014-03-03,1857.68,1883.97,1834.44,1872.34,3579015700,1872.34
2014-02-03,1782.68,1867.92,1737.92,1859.45,3875949400,1859.45
2014-01-02,1845.86,1850.84,1770.45,1782.59,3806266600,1782.59
2013-12-02,1806.55,1849.44,1767.99,1848.36,3203412300,1848.36
2013-11-01,1758.70,1813.55,1746.20,1805.81,3261324500,1805.81
2013-10-01,1682.41,1775.22,1646.47,1756.54,3498866500,1756.54
2013-09-03,1635.95,1729.86,1633.41,1681.55,3474152000,1681.55
2013-08-01,1689.42,1709.67,1627.47,1632.97,3069868600,1632.97
2013-07-01,1609.78,1698.78,1604.57,1685.73,3270645900,1685.73
2013-06-03,1631.71,1654.19,1560.33,1606.28,3996199000,1606.28
2013-05-01,1597.55,1687.18,1581.28,1630.74,3661220400,1630.74
2013-04-01,1569.18,1597.57,1536.03,1597.57,3674685000,1597.57
2013-03-01,1514.68,1570.28,1501.48,1569.19,3591577500,1569.19
2013-02-01,1498.11,1530.94,1485.01,1514.68,3851884200,1514.68
2013-01-02,1426.19,1509.94,1426.19,1498.11,3802304200,1498.11
2012-12-03,1416.34,1448.00,1398.11,1426.19,3479625500,1426.19
2012-11-01,1412.20,1434.27,1343.35,1416.18,3593110000,1416.18
2012-10-01,1440.90,1470.96,1403.28,1412.16,3587115700,1412.16
2012-09-04,1406.54,1474.51,1396.56,1440.67,3857553100,1440.67
2012-08-01,1379.32,1426.68,1354.65,1406.58,3183567800,1406.58
2012-07-02,1362.33,1391.74,1325.41,1379.32,3663113300,1379.32
2012-06-01,1309.87,1363.46,1266.74,1362.16,4103472300,1362.16
2012-05-01,1397.86,1415.32,1291.98,1310.33,4158095900,1310.33
2012-04-02,1408.47,1422.38,1357.38,1397.91,3916786000,1397.91
2012-03-01,1365.90,1419.15,1340.03,1408.47,3980752200,1408.47
2012-02-01,1312.45,1378.04,1312.45,1365.68,4143404000,1365.68
2012-01-03,1258.86,1333.47,1258.86,1312.41,4190155500,1312.41
